billing_month,issue_date,due_date,units_consumed,variable_charges,fixed_charges,gst,electricity_duty,tv_fee,late_payment_surcharge,total_amount,amount_within_due_date,amount_after_due_date,tariff_applied,reference_no,meter_number,consumer_id,consumer_name,address
JAN 24,2024-01-25,2024-02-08,1961.25,30347.25,100.0,5480.5,455.21,35,0.0,36417.96,36417.96,38238.86,A-1b,11 79926 5382659 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1836.42,27725.78,100.0,5008.64,415.89,0,0.0,33250.3,33250.3,34912.82,A-1b,11 55578 2728136 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2253.72,36489.16,100.0,6586.05,547.34,0,0.0,43722.55,43722.55,45908.68,A-1b,11 39429 3851927 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2423.05,40045.03,100.0,7226.11,600.68,0,0.0,47971.81,47971.81,50370.4,A-1b,11 81952 1938266 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3350.97,59531.43,100.0,10733.66,892.97,0,0.0,71258.06,71258.06,74820.97,A-1b,11 41042 5720869 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3767.76,68283.98,100.0,12309.12,1024.26,35,0.0,81752.36,81752.36,85839.98,A-1b,11 76022 7658291 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3895.49,70966.29,100.0,12791.93,1064.49,0,0.0,84922.72,84922.72,89168.85,A-1b,11 44424 3803709 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,3579.7,64334.74,100.0,11598.25,965.02,35,0.0,77033.02,77033.02,80884.67,A-1b,11 56824 9955672 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,2923.51,50554.65,100.0,9117.84,758.32,35,0.0,60565.8,60565.8,63594.09,A-1b,11 41946 9808227 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2512.37,41920.85,100.0,7563.75,628.81,0,0.0,50213.42,50213.42,52724.09,A-1b,11 22017 9420144 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2147.17,34251.49,100.0,6183.27,513.77,35,1717.57,42801.1,42801.1,44941.16,A-1b,11 64839 9248050 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,1957.65,30271.59,100.0,5466.89,454.07,35,0.0,36327.55,36327.55,38143.92,A-1b,11 97550 5314590 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,1890.55,28862.59,100.0,5213.27,432.94,0,0.0,34608.8,34608.8,36339.24,A-1b,11 32341 5920313 U,41116573584,5614226,Jahdari Owais,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,1939.66,29893.92,100.0,5398.91,448.41,35,0.0,35876.24,35876.24,37670.05,A-1b,11 20297 9455932 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1817.0,27317.98,100.0,4935.24,409.77,35,1370.9,34168.88,34168.88,35877.33,A-1b,11 67948 2070442 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2263.36,36691.48,100.0,6622.47,550.37,0,0.0,43964.31,43964.31,46162.53,A-1b,11 95679 8387227 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2423.9,40062.86,100.0,7229.31,600.94,0,0.0,47993.12,47993.12,50392.77,A-1b,11 64213 4773048 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3342.66,59356.9,100.0,10702.24,890.35,35,0.0,71084.5,71084.5,74638.72,A-1b,11 91006 5337500 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3769.29,68316.09,100.0,12314.9,1024.74,0,0.0,81755.73,81755.73,85843.51,A-1b,11 60832 7237282 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3883.33,70710.93,100.0,12745.97,1060.66,0,0.0,84617.56,84617.56,88848.44,A-1b,11 28814 9189869 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
