consumer_id,meter_number,reference_no,name,father_name,address,tariff_category,connection_date,connected_load_kw,division,sub_division,feeder_name,phase_type,meter_type,meter_make,installation_date,warranty_expiry,last_maintenance_date,latitude,longitude,status,sanctioned_load_kw
5614226,41116573584,11 28289 2719583 U,Jahdari Owais,Aayan Awmar,"H NO 914 Ubaid Manors, MORGHAH, RAWALPINDI",A-1b,2018-01-06,5.63,SATELLITE TOWN,MORGHAH,061119 SADDAR,Single,Smart,Landis+Gyr,2018-01-06,,,33.575301872905,73.02302450629386,Suspended,5.448758636805655
1109031,54764787985,11 46421 3608513 U,Zahrun Batal,Raghib Aasif,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI",A-1b,2016-08-30,11.95,SATELLITE TOWN,DHOKE KALA KHAN,061119 SADDAR,Single,Smart,Itron,2016-08-30,2025-12-07,2025-07-26,33.59581282732744,73.03987317866938,Suspended,10.156669058438341
5918715,99461611826,11 91070 7067228 U,Ubaid Ghanee,Barr Maalik,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI",B-1,2019-11-15,6.58,SATELLITE TOWN,WESTRIDGE,061118 CHAKLALA,Three,Smart,Siemens,2019-11-15,2023-07-14,2025-12-07,33.560441030236845,73.05031104266408,Active,6.238316305451636
2197935,98515543667,11 32431 9961380 U,Zahri Raatib,Maazin Sadeed,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI",A-1a,2021-11-06,2.07,SADDAR,CHAKLALA,061120 KOHAT,Single,Smart,Itron,2021-11-06,2029-08-30,2025-09-10,33.53800480719641,72.97011002439041,Active,1.9881644436544883
6279418,96812569967,11 75435 7637601 U,Vahar Rohaan,Wahban Ghasaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI",A-1a,2018-03-31,4.65,GULBERG,CHAKLALA,061117 WESTRIDGE,Single,Smart,Itron,2018-03-31,2029-06-29,2025-05-13,33.57345329249457,73.00309964437137,Active,4.667718906238225
2839607,96555794399,11 30969 8082668 U,Gulshan Mahfuj,Jalaal Rabee,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI",A-1a,2021-01-17,1.19,RAWALPINDI CANTT,KOHAT ROAD,061120 KOHAT,Single,Smart,Landis+Gyr,2021-01-17,2027-02-02,,33.60357884501291,73.04198777995917,Active,1.0050988346316372
5418934,82893704331,11 33416 9517485 U,Yasir Luqman,Sabahat Owais,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI",A-1b,2019-09-08,16.34,RAWALPINDI CANTT,MORGHAH,061117 WESTRIDGE,Single,Smart,Itron,2019-09-08,2024-04-11,2026-02-08,33.592962647863054,73.01993536721953,Active,16.986701804032055
7089806,41385534207,11 17592 5041154 U,Labeeb Daamin,Birousk Man,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI",A-1b,2025-08-06,7.8,SATELLITE TOWN,KOHAT ROAD,061116 QAYYUMABAD,Single,Smart,Siemens,2025-08-06,2027-05-23,2026-02-03,33.531612695897415,73.01966737874183,Suspended,7.560190373426766
4374754,51716798182,11 62296 7264956 U,Ghauth Qais,Yaqub Yar,"H NO 530 Jaan Dam, KOHAT ROAD, RAWALPINDI",A-1a,2025-10-09,3.16,SATELLITE TOWN,WESTRIDGE,061117 WESTRIDGE,Single,Smart,Itron,2025-10-09,,2025-05-20,33.573944011441036,72.96761908389851,Active,2.8173824147372994
2188789,42273054800,11 46500 9143903 U,Ubaadah Aamirah,Madiyan Talha,"H NO 136 Sad Park, MORGHAH, RAWALPINDI",B-1,2025-09-03,22.19,RAWALPINDI CANTT,KOHAT ROAD,061117 WESTRIDGE,Three,Conventional,Elster,2025-09-03,,,33.558205118240636,73.009257862302,Disconnected,25.4194149785286
2651177,61799937007,11 54473 2833230 U,Aadil Jahdari,Najeeb Yafir,"H NO 195 Taj Ranch, MORGHAH, RAWALPINDI",A-1a,2017-09-01,3.61,SADDAR,WESTRIDGE,061119 SADDAR,Single,Smart,Itron,2017-09-01,2025-08-18,2025-09-07,33.52263848883743,73.04770222447317,Suspended,3.029380203523111
1247595,22751741827,11 40982 3790237 U,Aalam Badr Udeen,Yaqeen Ghutayf,"H NO 493 Kabeer Mews, WESTRIDGE, RAWALPINDI",A-2a,2020-05-26,3.16,SADDAR,DHOKE KALA KHAN,061117 WESTRIDGE,Single,Conventional,Landis+Gyr,2020-05-26,2023-02-02,,33.59350706019486,73.01240083673392,Disconnected,3.4084916605506055
9164991,36434651095,11 48890 4652414 U,Jaabir Sadaqat,Raheel Ayaan,"H NO 594 Luay Rest, MORGHAH, RAWALPINDI",A-2a,2023-11-04,4.13,SATELLITE TOWN,CHAKLALA,061116 QAYYUMABAD,Single,Smart,Elster,2023-11-04,2025-07-13,2025-04-14,33.53084327279395,73.06297789032745,Active,4.710417884908488
4946066,24619104687,11 84668 5130808 U,Sabiq Kabeer,Uhban Quadir,"H NO 41 Aatiq Creek, MORGHAH, RAWALPINDI",A-1a,2022-06-26,1.27,SATELLITE TOWN,KOHAT ROAD,061120 KOHAT,Single,Smart,Itron,2022-06-26,2028-08-28,2026-01-21,33.538968595261586,73.00647858467913,Active,1.2482700828657896
